backbone,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
dinov2_base,slide_1,-0.292,0.0072814158201216506,0.004013313055038381,0.0,0.0
dinov2_base,slide_10,-0.36000000000000004,0.022964285373687887,0.018843966722488448,0.0,0.0
dinov2_base,slide_11,-0.41600000000000004,0.02839090085029594,0.03137963652610776,0.0,0.0
dinov2_base,slide_12,-0.45600000000000007,0.03282471144199384,0.02903885364532477,0.0,0.0
dinov2_base,slide_13,-0.38,0.030545322775840766,0.026674549579620455,0.0,0.0
dinov2_base,slide_14,-0.42,0.033291287779808054,0.027662680149078356,0.0,0.0
dinov2_base,slide_15,-0.4680000000000001,0.02809797632694233,0.015968729257583636,0.0,0.0
dinov2_base,slide_16,-0.5000000000000001,0.034816200256347685,0.026037219762802044,0.0,0.0
dinov2_base,slide_17,-0.4040000000000001,0.028453103780746503,0.0319878566265106,0.0,0.0
dinov2_base,slide_18,-0.404,0.02020700705051448,0.022373802661895592,0.0,0.0
dinov2_base,slide_19,-0.3719999999999999,0.044975816726684714,0.04123285531997678,0.0,0.0
dinov2_base,slide_2,-0.38400000000000006,0.04336899578571318,0.03877863883972177,0.0,0.0
dinov2_base,slide_20,-0.436,0.019117769360542214,0.018618147373199445,0.0,0.0
dinov2_base,slide_21,-0.44399999999999995,0.026312510848045312,0.02908766150474551,-0.0010000000000000009,-0.010000000000000009
dinov2_base,slide_22,-0.4960000000000001,0.03202984130382536,0.036349674463272086,0.0,0.0
dinov2_base,slide_23,-0.4040000000000001,0.0376438192129136,0.029163992404937722,0.0,0.0
dinov2_base,slide_24,-0.468,0.024385224103927627,0.02428690195083627,0.0,0.0
dinov2_base,slide_25,-0.3480000000000001,0.03573724991083138,0.06994624435901642,0.0030000000000000027,0.020000000000000018
dinov2_base,slide_26,-0.39599999999999996,0.022839118003845194,0.026224563121795552,0.0,0.0
dinov2_base,slide_27,-0.45599999999999996,0.03306797194480904,0.03554779052734369,0.0,0.0
dinov2_base,slide_28,-0.4800000000000001,0.032078723907470685,0.03725882530212399,0.0,0.0
dinov2_base,slide_29,-0.28,0.042225482225418,0.04386650204658504,0.0,0.0
dinov2_base,slide_3,-0.312,0.035065249443054114,0.031868282556533956,0.0,0.0
dinov2_base,slide_30,-0.36000000000000004,0.03804530018568064,0.035461587309837284,-0.0030000000000000027,-0.010000000000000009
dinov2_base,slide_31,-0.38400000000000006,0.030317991495132368,0.024174833297729514,0.0,0.0
dinov2_base,slide_32,-0.284,0.03360566031932832,0.0344165062904358,0.0,0.0
dinov2_base,slide_33,-0.352,0.03258411848545073,0.02735063076019295,0.0,0.0
dinov2_base,slide_34,-0.44400000000000006,0.028465314149856535,0.0331277763843536,0.0,0.0
dinov2_base,slide_35,-0.38799999999999996,0.03997995030879964,0.05007234930992133,0.0,0.0
dinov2_base,slide_36,-0.32400000000000007,0.03892427551746369,0.040794460773468044,0.0,0.0
dinov2_base,slide_37,-0.404,0.02414410698413838,0.02353637337684622,0.0,0.0
dinov2_base,slide_38,-0.44800000000000006,0.03654060900211331,0.03877619147300726,0.0,0.0
dinov2_base,slide_39,-0.4920000000000001,0.0335845615863799,0.027296526432037282,0.0,0.0
dinov2_base,slide_4,-0.284,0.040321346282959025,0.04754742860794081,0.0,0.0
dinov2_base,slide_40,-0.18800000000000006,0.020015308737755033,0.019464927911758356,0.0,0.0
dinov2_base,slide_41,-0.352,0.036250445485115246,0.03818375349044789,0.0,0.0
dinov2_base,slide_42,-0.35600000000000004,0.03039604520797734,0.026295125484466553,0.0,0.0
dinov2_base,slide_43,-0.4159999999999999,0.034157487273216436,0.03649888873100282,0.0,0.0
dinov2_base,slide_44,-0.41200000000000003,0.03740270555019387,0.045653369426727375,0.0,0.0
dinov2_base,slide_45,-0.4720000000000001,0.030495751142501804,0.026606656312942567,0.0,0.0
dinov2_base,slide_46,-0.24000000000000005,0.03493827509880065,0.03697576999664309,0.0,0.0
dinov2_base,slide_47,-0.4,0.02084701895713814,0.02525950551033007,0.0,0.0
dinov2_base,slide_48,-0.5280000000000001,0.033867122411727846,0.02878895282745375,0.0,0.0
dinov2_base,slide_5,-0.31999999999999995,0.02702289867401131,0.030349926948547434,0.0,0.0
dinov2_base,slide_6,-0.40000000000000013,0.051908079743385294,0.05341311573982244,0.0,0.0
dinov2_base,slide_7,-0.47200000000000003,0.01729792761802673,0.02013601899147044,0.0,0.0
dinov2_base,slide_8,-0.20800000000000007,0.025974894046783437,0.01714005708694455,-0.0030000000000000027,-0.020000000000000018
dinov2_base,slide_9,-0.19600000000000006,0.01688440287113213,0.00906652688980114,0.0,0.0
phikon,slide_1,-0.42400000000000004,0.03644239687919626,0.042375911474228034,0.0,0.0
phikon,slide_10,-0.384,0.10706669640541078,0.10686825871467598,0.0010000000000000009,0.010000000000000009
phikon,slide_11,-0.44399999999999995,0.08475820827484137,0.09071697711944571,0.0,0.0
phikon,slide_12,-0.472,0.07400662314891815,0.07290173888206475,0.0,0.0
phikon,slide_13,-0.344,0.08974819839000714,0.09850710988044731,0.0,0.0
phikon,slide_14,-0.528,0.08417353260517124,0.09208034992218017,0.0010000000000000009,0.010000000000000009
phikon,slide_15,-0.46799999999999997,0.08421876513957982,0.10234866976737966,0.0,0.0
phikon,slide_16,-0.404,0.08505380403995522,0.09610764622688306,0.0,0.0
phikon,slide_17,-0.44399999999999995,0.09180360209941862,0.08870663762092579,0.0020000000000000018,0.020000000000000018
phikon,slide_18,-0.4160000000000001,0.07790398883819583,0.07955540776252745,0.0020000000000000018,0.020000000000000018
phikon,slide_19,-0.32000000000000006,0.1267312170863153,0.13563088119029998,0.0,0.0
phikon,slide_2,-0.4119999999999999,0.10697669148445121,0.11311335563659664,0.0,0.0
phikon,slide_20,-0.512,0.07635434508323669,0.07964667558670047,0.0,0.0
phikon,slide_21,-0.45200000000000007,0.08917965722084042,0.09071728944778445,0.0030000000000000027,0.020000000000000018
phikon,slide_22,-0.48400000000000004,0.07911319565773023,0.08559246063232429,0.0,0.0
phikon,slide_23,-0.41600000000000004,0.10925499725341792,0.11170514345169069,0.0,0.0
phikon,slide_24,-0.488,0.08436616885662074,0.10877904295921326,0.0,0.0
phikon,slide_25,-0.396,0.1142181062698363,0.13467867732048044,0.0010000000000000009,0.010000000000000009
phikon,slide_26,-0.368,0.04688853716850283,0.04974079370498652,0.0,0.0
phikon,slide_27,-0.45599999999999996,0.08196282601356508,0.08753870844841005,0.0,0.0
phikon,slide_28,-0.44399999999999995,0.10044465756416321,0.1000123834609985,0.0,0.0
phikon,slide_29,-0.42400000000000004,0.12062343072891246,0.12151979684829728,0.0,0.0
phikon,slide_3,-0.45600000000000007,0.08399176907539352,0.09473672509193432,0.0,0.0
phikon,slide_30,-0.42799999999999994,0.10904425346851343,0.12496894359588617,0.0030000000000000027,0.010000000000000009
phikon,slide_31,-0.356,0.1093998477458955,0.11702042102813703,0.0010000000000000009,0.010000000000000009
phikon,slide_32,-0.43999999999999995,0.10923441910743714,0.10879529953002931,0.0,0.0
phikon,slide_33,-0.396,0.08247642958164214,0.09077738046646111,0.0,0.0
phikon,slide_34,-0.45599999999999996,0.07813307750225063,0.08733500480651857,0.0020000000000000018,0.020000000000000018
phikon,slide_35,-0.3400000000000001,0.08813603341579435,0.10892331480979922,0.0,0.0
phikon,slide_36,-0.392,0.08988614904880521,0.0937066757678986,0.0020000000000000018,0.020000000000000018
phikon,slide_37,-0.488,0.08078820395469655,0.08806189179420465,0.0,0.0
phikon,slide_38,-0.532,0.09082165813446041,0.09681837916374203,0.0,0.0
phikon,slide_39,-0.396,0.09153610742092144,0.09618910074234,0.0010000000000000009,0.010000000000000009
phikon,slide_4,-0.42800000000000005,0.08249895823001852,0.08434553742408746,0.0010000000000000009,0.010000000000000009
phikon,slide_40,-0.532,0.04528466272354126,0.05009900331497186,0.006000000000000005,0.029999999999999916
phikon,slide_41,-0.45199999999999996,0.07627065861225135,0.07091450095176688,0.0,0.0
phikon,slide_42,-0.41200000000000003,0.11006464076042177,0.11602374196052556,0.0,0.0
phikon,slide_43,-0.388,0.1273983975648879,0.14518294572830204,0.0,0.0
phikon,slide_44,-0.4,0.11804284930229192,0.12091934800148008,0.0,0.0
phikon,slide_45,-0.42000000000000004,0.09637630021572108,0.10565464496612542,0.0,0.0
phikon,slide_46,-0.484,0.09343936371803296,0.09825036883354199,0.0,0.0
phikon,slide_47,-0.45999999999999996,0.08025000202655785,0.08671275615692142,0.0,0.0
phikon,slide_48,-0.48,0.08877112543582921,0.07620889663696284,0.0,0.0
phikon,slide_5,-0.5,0.08520376026630394,0.09443883180618284,0.0,0.0
phikon,slide_6,-0.42800000000000005,0.11113854211568841,0.1137901061773301,0.0020000000000000018,0.020000000000000018
phikon,slide_7,-0.41600000000000004,0.09953222179412835,0.10516340851783756,0.0,0.0
phikon,slide_8,-0.44400000000000006,0.06778475236892711,0.075618005990982,0.0010000000000000009,0.010000000000000009
phikon,slide_9,-0.46799999999999997,0.07429260396957404,0.08165630221366893,0.0,0.0
resnet50,slide_1,-0.18,0.014692370355129158,0.017532854676246767,0.0010000000000000009,-0.010000000000000009
resnet50,slide_10,-0.46399999999999997,0.028970647096633995,0.04790987551212311,0.013000000000000012,0.050000000000000044
resnet50,slide_11,-0.38799999999999996,0.024170784443616977,0.017472744882106817,0.01100000000000001,-0.01000000000000012
resnet50,slide_12,-0.308,0.015452828884124803,0.017037665247917166,-0.0010000000000000009,-0.010000000000000009
resnet50,slide_13,-0.36000000000000004,0.020465480625629473,0.02180942714214329,0.0030000000000000027,0.010000000000000009
resnet50,slide_14,-0.3360000000000001,0.02194461536407466,0.02991437196731561,0.007000000000000006,0.039999999999999925
resnet50,slide_15,-0.46000000000000013,0.03555062940716747,0.02616923004388816,0.007000000000000006,0.019999999999999907
resnet50,slide_16,-0.3319999999999999,0.022801304548978774,0.04056651473045347,0.009999999999999898,-0.020000000000000018
resnet50,slide_17,-0.43199999999999994,0.017197510600090005,0.02029135853052133,0.011999999999999789,0.040000000000000036
resnet50,slide_18,-0.24000000000000005,0.008277537494897791,0.011092444956302572,0.009000000000000008,0.0
resnet50,slide_19,-0.412,0.029178459644317645,0.034595152139663576,0.015000000000000013,0.040000000000000036
resnet50,slide_2,-0.4600000000000001,0.04649296173453332,0.04694801747798916,0.007000000000000006,0.010000000000000009
resnet50,slide_20,-0.42399999999999993,0.012649646818637894,0.011290906071663054,0.0020000000000000018,0.0
resnet50,slide_21,-0.47200000000000003,0.027847360223531736,0.02607758313417441,0.015000000000000013,0.039999999999999925
resnet50,slide_22,-0.35600000000000004,0.018769931390881567,0.02306436002254486,0.007999999999999896,0.010000000000000231
resnet50,slide_23,-0.452,0.030811416566371985,0.029177407920360443,0.010000000000000009,0.009999999999999898
resnet50,slide_24,-0.33199999999999996,0.008167422413826064,0.011366963386535645,-0.0010000000000000009,-0.020000000000000018
resnet50,slide_25,-0.32399999999999995,0.03908557334542273,0.04517715871334077,0.0129999999999999,0.039999999999999813
resnet50,slide_26,-0.33599999999999997,0.012551086902618414,-0.00017888545989985793,0.0050000000000000044,0.009999999999999898
resnet50,slide_27,-0.41200000000000003,0.02683603477478036,0.023467566967010356,0.0,0.02000000000000013
resnet50,slide_28,-0.26000000000000006,0.020705017924308677,0.020081106126308534,0.014000000000000012,0.039999999999999925
resnet50,slide_29,-0.364,0.025984980180859485,0.0351373195648193,0.007000000000000006,0.010000000000000009
resnet50,slide_3,-0.39999999999999997,0.02724466407299042,0.030078937411308182,0.0010000000000000009,0.010000000000000009
resnet50,slide_30,-0.348,0.024170591533184016,0.023290835916995878,0.014000000000000012,0.04000000000000015
resnet50,slide_31,-0.39999999999999997,0.03752846750617023,0.04158884227275861,0.008000000000000007,0.020000000000000018
resnet50,slide_32,-0.288,0.029103401422500563,0.03807440102100368,-0.0010000000000000009,-0.020000000000000018
resnet50,slide_33,-0.44399999999999995,0.025683500528335568,0.026449683904647858,0.008000000000000007,0.010000000000000009
resnet50,slide_34,-0.432,0.031710949063301075,0.037956584095954926,0.009000000000000119,0.010000000000000231
resnet50,slide_35,-0.45199999999999996,0.04983990159630769,0.04597995519638065,0.018000000000000016,0.040000000000000036
resnet50,slide_36,-0.35200000000000004,0.039567009329795844,0.04416510581970223,0.015000000000000013,0.040000000000000036
resnet50,slide_37,-0.392,0.027888735413551302,0.03671041518449791,0.0010000000000000009,0.009999999999999898
resnet50,slide_38,-0.52,0.02724043577909474,0.030899745821952873,0.027999999999999914,0.05999999999999994
resnet50,slide_39,-0.40399999999999997,0.021263035714626177,0.03857275128364557,0.008000000000000007,0.030000000000000138
resnet50,slide_4,-0.30799999999999994,0.03573883682489398,0.03633789837360368,0.008000000000000007,0.029999999999999916
resnet50,slide_40,-0.09200000000000008,0.0092681574225425,0.02151527881622317,0.013000000000000012,0.039999999999999925
resnet50,slide_41,-0.324,0.01624342924356459,0.008658607006073016,0.01100000000000001,-0.020000000000000018
resnet50,slide_42,-0.43600000000000005,0.037570017427206115,0.04354644119739526,0.0,0.0
resnet50,slide_43,-0.38799999999999996,0.0318943048715592,0.0349371254444123,0.026000000000000023,0.040000000000000036
resnet50,slide_44,-0.404,0.044352798402309435,0.05736672639846796,0.024000000000000132,0.06000000000000005
resnet50,slide_45,-0.46,0.017026069074869143,0.013545376360416417,-0.0030000000000000027,-0.019999999999999907
resnet50,slide_46,-0.376,0.03524834534525867,0.040509886741638246,0.0050000000000000044,0.030000000000000027
resnet50,slide_47,-0.312,0.011972474932670618,0.021664424538612392,-0.0020000000000000018,-0.020000000000000018
resnet50,slide_48,-0.33599999999999997,0.010984725862741351,0.018709308803081526,0.006000000000000005,0.040000000000000036
resnet50,slide_5,-0.468,0.03381801909208304,0.04097168862819678,0.016000000000000014,0.029999999999999916
resnet50,slide_6,-0.39200000000000007,0.05332202181220058,0.06972732365131373,0.0010000000000000009,0.009999999999999898
resnet50,slide_7,-0.332,0.012158784598112149,0.022982733249664267,0.0020000000000000018,-0.009999999999999898
resnet50,slide_8,-0.244,0.014538159430027009,0.015505448579788195,0.0010000000000000009,0.010000000000000009
resnet50,slide_9,-0.28,0.010112957656383426,0.014923030734062093,0.0040000000000000036,0.020000000000000018
